"File","Line","Property","Value"
"j-lawyer-client\src\main\java\com\iradraconis\shrinkify\ShrinkifyGui.form","173","toolTipText","Vorschau der Komprimierung"
"j-lawyer-client\src\main\java\com\iradraconis\shrinkify\ShrinkifyGui.form","185","toolTipText","Komprimieren und Speichern"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\JKanzleiGUI.form","71","text","Import: Gerichtsadressen"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\JKanzleiGUI.form","82","text","Import / Export: Einstellungen"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\JKanzleiGUI.form","93","text","Export: Akten"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\JKanzleiGUI.form","94","toolTipText","Exportieren von zur Synchronisation markierten Akten"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\JKanzleiGUI.form","119","text","Ansicht"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\JKanzleiGUI.form","337","text","Beteiligtentypen"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\JKanzleiGUI.form","393","text","Akten-Etiketten"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\JKanzleiGUI.form","404","text","Akten-Listenetiketten"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\JKanzleiGUI.form","415","text","Dokumentordner"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\JKanzleiGUI.form","476","text","Eigene Felder (Beteiligte)"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\JKanzleiGUI.form","600","text","Dokumentenvorschau"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\JKanzleiGUI.form","656","text","Ereignisvorlagen"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\JKanzleiGUI.form","750","text","Belegpositionen (Vorlagen)"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\JKanzleiGUI.form","814","text","Zeiterfassungspositionen (Vorlagen)"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\JKanzleiGUI.form","962","text","Buchen: Kontoauszug importieren"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\JKanzleiGUI.form","973","text","Zahlungen verwalten"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\LoginDialog.form","769","text","Passwort:"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\LoginDialog.form","855","toolTipText","Profil aus Zwischenablage importieren"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\LoginDialog.form","1027","text","root-Passwort:"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\LoginDialog.form","1152","text","j-lawyer.BOX Management Console &#xf6;ffnen"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\LoginDialog.form","1184","text","j-lawyer.BOX suchen"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\LoginDialog.form","1305","text","2. App starten und Profile-Dialog &#xf6;ffnen"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\LoginDialog.form","1319","text","3. Profil durch scannen des QR-Codes &#xfc;bernehmen"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\UserCredentialsDialog.form","99","text","Passwort:"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\assistant\AiChatMessageTextSelection.form","6","title","Textauswahl kopieren"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\assistant\AssistantChatDialog.form","344","text","&#xdc;bernehmen"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\assistant\AssistantChatDialog.form","355","text","neues Dokument"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\assistant\AssistantExtractDialog.form","13","text","in Prompt &#xfc;bernehmen"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\assistant\AssistantExtractDialog.form","21","text","Auswahl in Prompt &#xfc;bernehmen"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\assistant\AssistantExtractDialog.form","300","text","&#xdc;bernehmen"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\assistant\AssistantGenerateDialog.form","354","text","neues Dokument"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\assistant\AssistantGenerateDialog.form","355","toolTipText","Neues Dokument aus Vorlage erstellen und das Ergebnis dieses Dialogs &#xfc;bergeben. &#xa;Die Vorlage ben&#xf6;tigt den Platzhalter {{INGO_TEXT}}."
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\assistant\AssistantGenericDialog.form","13","text","in Prompt &#xfc;bernehmen"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\assistant\AssistantGenericDialog.form","21","text","Auswahl in Prompt &#xfc;bernehmen"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\assistant\AssistantGenericDialog.form","394","text","&#xdc;bernehmen"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\assistant\AssistantVisionDialog.form","295","text","&#xdc;bernehmen"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\assistant\AssistantVisionDialog.form","306","text","neues Dokument"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\bea\BeaIdentitySearchDialog.form","6","title","beA-Teilnehmer suchen"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\bea\BeaIdentitySearchDialog.form","121","text","Vorname:"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\bea\BeaIdentitySearchDialog.form","169","text","Nachname:"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\bea\BeaInboxPanel.form","16","text","neuer Ordner"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\bea\BeaInboxPanel.form","27","text","Ordner l&#xf6;schen"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\bea\BeaInboxPanel.form","81","text","in Akte speichern..."
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\bea\BeaInboxPanel.form","92","text","in Akte speichern (ohne Anh&#xe4;nge)..."
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\bea\BeaInboxPanel.form","103","text","in Akte speichern (nur Anh&#xe4;nge)..."
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\bea\BeaInboxPanel.form","239","toolTipText","neue Nachricht schreiben"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\bea\BeaInboxPanel.form","289","toolTipText","Weiterleiten"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\bea\BeaInboxPanel.form","505","toolTipText","verschiebt die Nachricht nach Zuordnung in den Ordner &quot;in Akte importiert&quot;"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\bea\BeaInboxPanel.form","519","text","Hinweis: tempor&#xe4;re Dateien"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\bea\BeaInboxPanel.form","538","toolTipText","Menge der angezeigten Nachrichten beschr&#xe4;nken"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\bea\BeaMessageContentUI.form","24","text","in Akte..."
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\bea\BeaMessageContentUI.form","84","tabTitle","Nachricht"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\bea\BeaMessageContentUI.form","410","tabTitle","weitere"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\bea\BeaMessageContentUI.form","453","toolTipText","Nachricht als PDF anzeigen / drucken"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\bea\BeaMessageContentUI.form","560","text","eEB zurückweisen"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\bea\BeaMessageContentUI.form","561","toolTipText","elektronisches Empfangsbekenntnis zurückweisen"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\bea\BeaMessageContentUI.form","649","toolTipText","Nachrichtenjournal erneut aus dem Postfach laden"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\bea\BeaMessageContentUI.form","725","toolTipText","Nachrichtenjournal erneut aus dem Postfach laden"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\bea\BeaSignaturesVerificationDialog.form","241","text","PDF anzeigen / speichern"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\bea\EebRejectDialog.form","72","text","&#xdc;bernehmen"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\bea\IdentityPanel.form","93","text","Nachname, Vorname (Username)"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\bea\SelectLegalAuthorityDialog.form","101","text","&#xdc;bernehmen"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\bea\SelectLegalAuthorityDialog.form","123","text","Keine ausw&#xe4;hlen"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\bea\SendBeaMessageFrame.form","16","text","suchen (Adressbuch)"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\bea\SendBeaMessageFrame.form","27","text","suchen (beA-Verzeichnis)"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\bea\SendBeaMessageFrame.form","50","text","entfernen"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\bea\SendBeaMessageFrame.form","69","text","entfernen"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\bea\SendBeaMessageFrame.form","80","title","neue beA-Nachricht"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\bea\SendBeaMessageFrame.form","465","toolTipText","in &quot;Entw&#xfc;rfe&quot; speichern und sp&#xe4;ter signieren/senden"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\bea\SendBeaMessageFrame.form","544","text","als Dokument speichern"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\bea\SendBeaMessageFrame.form","545","toolTipText","Gesendete Nachricht als Dokument zur Akte speichern"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\bea\SendBeaMessageFrame.form","707","toolTipText","Doppelklick um heutiges Datum zu &#xfc;bernehmen"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\bea\SendBeaMessageFrame.form","745","actionCommand","Zielakte markieren:"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\bea\SendBeaMessageFrame.form","808","ComboBoxItem[0]","Allgemeine Nachricht"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\bea\SendBeaMessageFrame.form","810","ComboBoxItem[2]","Testnachricht"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\bea\SendBeaMessageFrame.form","823","toolTipText","Nachricht wird nicht qualifiziert signiert"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\bea\SendBeaMessageFrame.form","904","text","Vorlage:"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\bea\ViewBeaDialog.form","102","toolTipText","Weiterleiten"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\cloud\CreateCloudShare.form","184","text","Ordner:"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\cloud\CreateCloudShare.form","203","text","Beteiligte"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\cloud\CreateCloudShare.form","215","text","Beteiligte-Akte"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\cloud\CreateCloudShare.form","226","text","Akte-Beteiligte"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\cloud\CreateCloudShare.form","283","text","Hochladen und Bearbeiten"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\cloud\CreateCloudShare.form","291","text","Passwortschutz:"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\cloud\CreateCloudShare.form","299","toolTipText","Generiert ein neues zuf&#xe4;lliges Passwort"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\cloud\ShareInfoPanel.form","241","toolTipText","im Browser &#xf6;ffnen"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\cloud\ShareInfoPanel.form","249","text","Ordner:"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\components\GenericTextViewer.form","6","title","OSCI-Nachrichtenansicht"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\components\GenericTextViewer.form","74","text","Nachrichten-ID:"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\components\MultiCalDialog.form","6","title","Datumsauswahl"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\configuration\AddressBookSetupDialog.form","6","title","Adressbuch-Synchronisation"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\configuration\AssistantPromptSetupDialog.form","242","text","&#xdc;bernehmen"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\configuration\AssistantPromptSetupDialog.form","308","toolTipText","Es werden die Platzhalter des Vorlagensystems unterst&#xfc;tzt.&#xa;Aktenbezogene Platzhalter (bspw. {{AKTE_ZEICHEN}}) werden nur dann ersetzt,&#xa;wenn der Prompt aus einer Akte heraus verwendet wird."
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\configuration\AssistantReplacementSetupDialog.form","213","text","&#xdc;bernehmen"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\configuration\AssistantSetupDialog.form","305","text","&#xdc;bernehmen"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\configuration\AssistantSetupDialog.form","355","text","Passwort:"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\configuration\BackupConfigurationDialog.form","424","text","Verschl&#xfc;sselungspasswort:"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\configuration\BackupConfigurationDialog.form","432","toolTipText","bei Angabe eines Passwortes wird die Datensicherung verschl&#xfc;sselt und passwortgesch&#xfc;tzt"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\configuration\BackupConfigurationDialog.form","580","text","Zielordner:"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\configuration\BackupConfigurationDialog.form","703","text","Zielordner auf dem Server:"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\configuration\BankstatementCsvConfigDialog.form","349","text","&#xdc;bernehmen"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\configuration\BankstatementCsvConfigDialog.form","517","toolTipText","f&#xfc;r nicht vorhandene Spalten bitte &quot;-1&quot; w&#xe4;hlen"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\configuration\BeaConfigurationDialog.form","10","title","Einstellungen beA-Schnittstelle"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\configuration\CalendarEntryTemplatesDialog.form","6","title","Vorlagen f&#xfc;r Wiedervorlagen, Fristen und Termine"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\configuration\CalendarEntryTemplatesDialog.form","275","text","&#xdc;bernehmen"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\configuration\CalendarEntryTemplatesDialog.form","291","text","zweiter Eintrag - bspw. f&#xfc;r Vorfristen (optional)"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\configuration\CalendarEntryTemplatesDialog.form","304","text","Vorlagen - Konfiguration"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\configuration\CalendarEntryTemplatesDialog.form","358","toolTipText","&lt;html&gt;zeitlicher Versatz f&#xfc;r den zweiten Eintrag, als Anzahl an Tagen:&lt;br/&gt;&lt;ul&gt;&lt;li&gt;negativer Wert: zweiter Eintrag liegt zeitlich vor dem Haupteintrag&lt;/li&gt;&lt;li&gt;positiver Wert: zweiter Eintrag liegt zeitlich nach dem Haupteintrag&lt;/li&gt;&lt;/ul&gt;&lt;/html&gt;"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\configuration\CalendarSetupDialog.form","306","toolTipText","Sofern ein Kalender mit einer Nextcloud synchronisiert wird, geschieht dies automatisch.&#xa;Eine zus&#xe4;tzliche Synchronisation in Intervallen ist nur in Ausnahmef&#xe4;llen sinnvoll, bspw. &#xa;wenn die Nextcloud nicht durchgehend erreichbar ist.&#xa;Auf Ger&#xe4;te mit iOS / macOS kann die Intervallsynchronisation zur doppelten Anzeige von&#xa;Terminen in den Kalender-Apps f&#xfc;hren."
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\configuration\CalendarSetupDialog.form","312","text","auf Terminkonflikte pr&#xfc;fen"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\configuration\CalendarSetupDialog.form","320","toolTipText","Bei Erstellen und Bearbeiten von Kalendereintr&#xe4;gen wird auf &#xa;m&#xf6;gliche Terminkonflikte gepr&#xfc;ft und eine Warnung angezeigt."
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\configuration\CalendarSetupDialog.form","363","text","&#xdc;bernehmen"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\configuration\CalendarSetupDialog.form","459","text","erledigte Termine aus Nextcloud l&#xf6;schen"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\configuration\CaseNumberingConfigurationDialog.form","10","title","Aktenzeichen-Einstellungen"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\configuration\CaseNumberingConfigurationDialog.form","106","text","Vorschau:"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\configuration\CaseNumberingConfigurationDialog.form","412","text","Aktenzeichen um weitere Angaben erweitern"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\configuration\CaseNumberingConfigurationDialog.form","420","text","Erweiterung trennen durch:"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\configuration\CaseNumberingConfigurationDialog.form","430","text","Erweiterungsfelder trennen durch:"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\configuration\CaseNumberingConfigurationDialog.form","491","text","Hinweise"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\configuration\CaseNumberingConfigurationDialog.form","492","toolTipText","&lt;html&gt;&#xa;&lt;b&gt;Hinweise:&lt;/b&gt;&#xa;Bei Aktivierung der AZ-Erweiterung &lt;b&gt;&lt;i&gt;m&amp;uuml;ssen&lt;/i&gt;&lt;/b&gt; die in der Erweiterung&lt;br/&gt;&#xa;gew&amp;uuml;nschten Daten zwingend vorhanden sein, um eine Akte anlegen oder speichern zu&lt;br/&gt;&#xa;k&#xf6;nnen. Stellen Sie also bspw. sicher, dass jeder Nutzer in der Nutzerverwaltung ein K&amp;uuml;rzel hat, &lt;br/&gt;&#xa;und dass neue und ver&#xe4;nderte Akten eine Eigent&#xfc;mergruppe haben.&#xa;&lt;/html&gt;"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\configuration\CasesUsingGroupDialog.form","77","text","Gruppe ... wird in diesen Akten verwendet:"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\configuration\CasesUsingGroupDialog.form","100","text","Gruppe nicht entfernen"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\configuration\CasesUsingGroupDialog.form","111","text","Gruppen aktualisieren"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\configuration\CasesUsingGroupDialog.form","134","text","Akten in zu dieser Gruppe transferieren:"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\configuration\CustomLauncherOptionsDialog.form","346","toolTipText","Standardprogramme werden durch Doppelklick auf ein Dokument ge&#xf6;ffnet,&#xa;Nicht-Standardprogramme sind &#xfc;ber das Kontextmen&#xfc; des Dokuments aufrufbar."
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\configuration\DocumentFolderTemplatesDialog.form","16","text","neuer Ordner"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\configuration\DocumentFolderTemplatesDialog.form","27","text","Ordner l&#xf6;schen"
