"File","Line","Str","Code"
"j-lawyer-client\src\main\java\com\iradraconis\shrinkify\ShrinkifyGui.java","824","Qualitätsstufe auswählen:","jLabel1.setText(""Qualitätsstufe auswählen:"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\LoginDialog.java","1574","Passwort:","jLabel16.setText(""Passwort:"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\LoginDialog.java","1673","Profil aus Zwischenablage importieren","cmdImportProfile.setToolTipText(""Profil aus Zwischenablage importieren"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\LoginDialog.java","1765","root-Passwort:","jLabel6.setText(""root-Passwort:"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\LoginDialog.java","1835","j-lawyer.BOX Management Console öffnen","jLabel11.setText(""j-lawyer.BOX Management Console öffnen"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\LoginDialog.java","1847","j-lawyer.BOX suchen","jLabel15.setText(""j-lawyer.BOX suchen"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\LoginDialog.java","1983","2. App starten und Profile-Dialog öffnen","jLabel21.setText(""2. App starten und Profile-Dialog öffnen"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\LoginDialog.java","1988","3. Profil durch scannen des QR-Codes übernehmen","jLabel22.setText(""3. Profil durch scannen des QR-Codes übernehmen"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\UserCredentialsDialog.java","727","Passwort:","jLabel2.setText(""Passwort:"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\assistant\AiChatMessageMarkdownPanel.java","841","Text auswählen und in die Zwischenablage kopieren","lblSelect.setToolTipText(""Text auswählen und in die Zwischenablage kopieren"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\assistant\AiChatMessageTextSelection.java","697","Textauswahl kopieren","setTitle(""Textauswahl kopieren"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\assistant\AssistantChatDialog.java","1072","Chat-Historie zurücksetzen und neuen Chat beginnen","cmdResetChat.setToolTipText(""Chat-Historie zurücksetzen und neuen Chat beginnen"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\assistant\AssistantChatDialog.java","1161","neues Dokument","cmdNewDocument.setText(""neues Dokument"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\assistant\AssistantExtractDialog.java","836","in Prompt übernehmen","mnuPromptAll.setText(""in Prompt übernehmen"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\assistant\AssistantExtractDialog.java","844","Auswahl in Prompt übernehmen","mnuPromptSelection.setText(""Auswahl in Prompt übernehmen"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\assistant\AssistantExtractDialog.java","969","übernehmen","""übernehmen"", ""Attribut"", ""extrahierter Wert"""
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\assistant\AssistantGenerateDialog.java","1107","neues Dokument","cmdNewDocument.setText(""neues Dokument"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\assistant\AssistantGenerateDialog.java","1108","Neues Dokument aus Vorlage erstellen und das Ergebnis dieses Dialogs übergeben. \nDie Vorlage benötigt den Platzhalter {{INGO_TEXT}}.","cmdNewDocument.setToolTipText(""Neues Dokument aus Vorlage erstellen und das Ergebnis dieses Dialogs übergeben. \nDie Vorlage benötigt den Platzhalter {{INGO_TEXT}}."");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\assistant\AssistantGenericDialog.java","917","in Prompt übernehmen","mnuPromptAll.setText(""in Prompt übernehmen"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\assistant\AssistantGenericDialog.java","925","Auswahl in Prompt übernehmen","mnuPromptSelection.setText(""Auswahl in Prompt übernehmen"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\assistant\AssistantVisionDialog.java","985","Chat-Historie zurücksetzen und neuen Chat beginnen","cmdResetChat.setToolTipText(""Chat-Historie zurücksetzen und neuen Chat beginnen"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\assistant\AssistantVisionDialog.java","1064","neues Dokument","cmdNewDocument.setText(""neues Dokument"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\bea\AddBeaRecipientSearchDialog.java","777","Suchen","cmdQuickSearch.setToolTipText(""Suchen"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\bea\BeaIdentitySearchDialog.java","806","beA-Teilnehmer suchen","setTitle(""beA-Teilnehmer suchen"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\bea\BeaIdentitySearchDialog.java","813","Vorname:","jLabel1.setText(""Vorname:"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\bea\BeaIdentitySearchDialog.java","822","Suchen","cmdQuickSearch.setToolTipText(""Suchen"");"
