"File","Line","Str","Code"
"j-lawyer-client\src\main\java\com\iradraconis\shrinkify\ShrinkifyGui.java","782","Bitte warten …","progressBar.setString(isBusy ? (message == null ? ""Bitte warten …"" : message) : """");"
"j-lawyer-client\src\main\java\com\iradraconis\shrinkify\ShrinkifyGui.java","978","Warnung: Die Originaldateien werden überschrieben!\nFortfahren?","""Warnung: Die Originaldateien werden überschrieben!\nFortfahren?"","
"j-lawyer-client\src\main\java\com\iradraconis\shrinkify\ShrinkifyGui.java","1097","Datei entfernen","JMenuItem removeItem = new JMenuItem(""Datei entfernen"");"
"j-lawyer-client\src\main\java\com\iradraconis\shrinkify\ShrinkifyGui.java","1121","Erstelle Vorschau …","setBusy(true, ""Erstelle Vorschau …"");"
"j-lawyer-client\src\main\java\com\iradraconis\shrinkify\ShrinkifyGui.java","1264","Alle Dateien wurden erfolgreich verarbeitet.\n\n","StringBuilder message = new StringBuilder(""Alle Dateien wurden erfolgreich verarbeitet.\n\n"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\ConnectionProfiles.java","790","Es existiert bereits eine Verbindung mit diesem Namen!","throw new Exception(""Es existiert bereits eine Verbindung mit diesem Namen!"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\JKanzleiGUI.java","982","Error determining monitor setup","log.error(""Error determining monitor setup"", t);"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\JKanzleiGUI.java","1064","(Keine Fenster geöffnet)","JMenuItem leer = new JMenuItem(""(Keine Fenster geöffnet)"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\JKanzleiGUI.java","1195","es gibt ungelesene beA-Nachrichten","this.lblBeaStatus.setToolTipText(""es gibt ungelesene beA-Nachrichten"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\JKanzleiGUI.java","1198","keine ungelesenen beA-Nachrichten","this.lblBeaStatus.setToolTipText(""keine ungelesenen beA-Nachrichten"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\JKanzleiGUI.java","1205","unbearbeitete Erwähnungen im Nachrichtencenter","this.lblUnreadInstantMessages.setToolTipText(""unbearbeitete Erwähnungen im Nachrichtencenter"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\JKanzleiGUI.java","2454","ungespeicherte Dokumente:","DocumentMonitorDialog moni = new DocumentMonitorDialog(EditorsRegistry.getInstance().getMainWindow(), true, ""ungespeicherte Dokumente:"", true);"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\JKanzleiGUI.java","2718","offene Dokumente:","DocumentMonitorDialog docMoni = new DocumentMonitorDialog(this, false, ""offene Dokumente:"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\JKanzleiGUI.java","2764","Dokumenten-Etiketten","dlg.setTitle(""Dokumenten-Etiketten"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\JKanzleiGUI.java","2895","Titel (Briefkopf)","dlg.setTitle(""Titel (Briefkopf)"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\JKanzleiGUI.java","3240","Dokument","MultiValueTagConfigurationDialog dlg = new MultiValueTagConfigurationDialog(this, true, OptionConstants.OPTIONGROUP_DOCUMENTTAGS_MV_PREFIX, ""Dokument"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\JKanzleiGUI.java","3246","Akten","MultiValueTagConfigurationDialog dlg = new MultiValueTagConfigurationDialog(this, true, OptionConstants.OPTIONGROUP_ARCHIVEFILETAGS_MV_PREFIX, ""Akten"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\LoginDialog.java","2672","Fehler bei QR-Code Generierung","this.lblProfileQrCode.setText(""Fehler bei QR-Code Generierung"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\SplashThread.java","1108","Fehler beim Generieren der Druckvorlagen","ThreadUtils.showErrorDialog(owner, ""Fehler beim Generieren der Druckvorlagen"", com.jdimension.jlawyer.client.utils.DesktopUtils.POPUP_TITLE_ERROR);"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\assistant\AiCalloutComponent.java","774","Text auswählen und in die Zwischenablage kopieren","setToolTipText(""Text auswählen und in die Zwischenablage kopieren"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\assistant\AssistantChatDialog.java","854","Erro ao carregar der Akteninformationen","ThreadUtils.showErrorDialog(this, ""Erro ao carregar der Akteninformationen"", ""Akteninformationen laden"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\assistant\AssistantChatDialog.java","1570","Fehler beim Stoppen der Aufnahme: ","ThreadUtils.showErrorDialog(this, ""Fehler beim Stoppen der Aufnahme: "" + ex.getMessage(), DesktopUtils.POPUP_TITLE_ERROR);"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\assistant\AssistantChatDialog.java","1747","Aufnahmefehler: ","ThreadUtils.showErrorDialog(this, ""Aufnahmefehler: "" + e.getMessage(), DesktopUtils.POPUP_TITLE_ERROR);"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\assistant\AssistantChatDialog.java","1860","Transkriptionsfehler: ","ThreadUtils.showErrorDialog(this, ""Transkriptionsfehler: "" + ex.getMessage(), DesktopUtils.POPUP_TITLE_ERROR);"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\assistant\AssistantChatPanel.java","283","Erro ao carregar der Akteninformationen","ThreadUtils.showErrorDialog(this, ""Erro ao carregar der Akteninformationen"", ""Akteninformationen laden"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\assistant\AssistantChatPanel.java","322","keine Werkzeugunterstützung","this.lblSupportsTools.setToolTipText(""keine Werkzeugunterstützung"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\assistant\AssistantChatPanel.java","354","Ermittle die heutigen offenen Termine und Fristen<br>","+ ""<i>\""Ermittle die heutigen offenen Termine und Fristen<br>"""
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\assistant\AssistantChatPanel.java","364","Keine Berechtigung für KI-Agentenfunktionen.<br>","+ ""Keine Berechtigung für KI-Agentenfunktionen.<br>"""
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\assistant\AssistantChatPanel.java","365","Bitte wenden Sie sich an Ihren Administrator.","+ ""Bitte wenden Sie sich an Ihren Administrator."""
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\assistant\AssistantChatPanel.java","628","Dokument als Kontext anh\u00e4ngen","cmdAttach.setToolTipText(""Dokument als Kontext anh\u00e4ngen"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\assistant\AssistantChatPanel.java","684","\u00dcbernehmen","cmdProcessOutput = new JButton(""\u00dcbernehmen"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\assistant\AssistantChatPanel.java","689","neues Dokument","cmdNewDocument = new JButton(""neues Dokument"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\assistant\AssistantChatPanel.java","984","Der Benutzer hat diesen Werkzeugaufruf abgelehnt.\","toolResultMsg.setContent(""{\""denied\"": true, \""message\"": \""Der Benutzer hat diesen Werkzeugaufruf abgelehnt.\""}"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\assistant\AssistantChatPanel.java","1343","Fehler beim Stoppen der Aufnahme: ","ThreadUtils.showErrorDialog(this, ""Fehler beim Stoppen der Aufnahme: "" + ex.getMessage(), DesktopUtils.POPUP_TITLE_ERROR);"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\assistant\AssistantChatPanel.java","1505","Dokumente öffnen","btnDocs.setToolTipText(""Dokumente öffnen"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\assistant\AssistantChatPanel.java","1514"," öffnen","JMenuItem itemOpen = new JMenuItem(docName + "" öffnen"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\assistant\AssistantChatPanel.java","1520"," in Akte anzeigen","JMenuItem itemCase = new JMenuItem(docName + "" in Akte anzeigen"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\assistant\AssistantChatPanel.java","1804","Aufnahmefehler: ","ThreadUtils.showErrorDialog(this, ""Aufnahmefehler: "" + e.getMessage(), DesktopUtils.POPUP_TITLE_ERROR);"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\assistant\AssistantChatPanel.java","1918","Transkriptionsfehler: ","ThreadUtils.showErrorDialog(this, ""Transkriptionsfehler: "" + ex.getMessage(), DesktopUtils.POPUP_TITLE_ERROR);"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\assistant\AssistantExtractPanel.java","238","in Prompt \u00fcbernehmen","JMenuItem mnuPromptAll = new JMenuItem(""in Prompt \u00fcbernehmen"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\assistant\AssistantExtractPanel.java","244","Auswahl in Prompt \u00fcbernehmen","JMenuItem mnuPromptSelection = new JMenuItem(""Auswahl in Prompt \u00fcbernehmen"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\assistant\AssistantExtractPanel.java","336","übernehmen","new String[]{""übernehmen"", ""Attribut"", ""extrahierter Wert""}"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\assistant\AssistantExtractPanel.java","482","\u00dcbernehmen","cmdProcessOutput = new JButton(""\u00dcbernehmen"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\assistant\AssistantExtractPanel.java","739","Fehler beim Stoppen der Aufnahme: ","ThreadUtils.showErrorDialog(this, ""Fehler beim Stoppen der Aufnahme: "" + ex.getMessage(), DesktopUtils.POPUP_TITLE_ERROR);"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\assistant\AssistantExtractPanel.java","797","Aufnahmefehler: ","ThreadUtils.showErrorDialog(this, ""Aufnahmefehler: "" + e.getMessage(), DesktopUtils.POPUP_TITLE_ERROR);"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\assistant\AssistantExtractPanel.java","911","Transkriptionsfehler: ","ThreadUtils.showErrorDialog(this, ""Transkriptionsfehler: "" + ex.getMessage(), DesktopUtils.POPUP_TITLE_ERROR);"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\assistant\AssistantGenerateDialog.java","814","Erro ao carregar der Akteninformationen","ThreadUtils.showErrorDialog(this, ""Erro ao carregar der Akteninformationen"", ""Akteninformationen laden"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\assistant\AssistantGenerateDialog.java","1499","Aufnahmefehler: ","ThreadUtils.showErrorDialog(this, ""Aufnahmefehler: "" + e.getMessage(), com.jdimension.jlawyer.client.utils.DesktopUtils.POPUP_TITLE_ERROR);"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\assistant\AssistantGenericDialog.java","801","Erro ao carregar der Akteninformationen","ThreadUtils.showErrorDialog(this, ""Erro ao carregar der Akteninformationen"", ""Akteninformationen laden"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\assistant\AssistantGenericPanel.java","243","Erro ao carregar der Akteninformationen","ThreadUtils.showErrorDialog(this, ""Erro ao carregar der Akteninformationen"", ""Akteninformationen laden"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\assistant\AssistantGenericPanel.java","277","keine Werkzeugunterstützung","this.lblSupportsTools.setToolTipText(""keine Werkzeugunterstützung"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\assistant\AssistantGenericPanel.java","308","Ermittle die heutigen offenen Termine und Fristen<br>","+ ""<i>\""Ermittle die heutigen offenen Termine und Fristen<br>"""
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\assistant\AssistantGenericPanel.java","318","Keine Berechtigung für KI-Agentenfunktionen.<br>","+ ""Keine Berechtigung für KI-Agentenfunktionen.<br>"""
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\assistant\AssistantGenericPanel.java","319","Bitte wenden Sie sich an Ihren Administrator.","+ ""Bitte wenden Sie sich an Ihren Administrator."""
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\assistant\AssistantGenericPanel.java","422","in Prompt \u00fcbernehmen","JMenuItem mnuPromptAll = new JMenuItem(""in Prompt \u00fcbernehmen"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\assistant\AssistantGenericPanel.java","428","Auswahl in Prompt \u00fcbernehmen","JMenuItem mnuPromptSelection = new JMenuItem(""Auswahl in Prompt \u00fcbernehmen"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\assistant\AssistantGenericPanel.java","705","\u00dcbernehmen","cmdProcessOutput = new JButton(""\u00dcbernehmen"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\assistant\AssistantGenericPanel.java","1080","Fehler beim Stoppen der Aufnahme: ","ThreadUtils.showErrorDialog(this, ""Fehler beim Stoppen der Aufnahme: "" + ex.getMessage(), DesktopUtils.POPUP_TITLE_ERROR);"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\assistant\AssistantGenericPanel.java","1138","Aufnahmefehler: ","ThreadUtils.showErrorDialog(this, ""Aufnahmefehler: "" + e.getMessage(), DesktopUtils.POPUP_TITLE_ERROR);"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\assistant\AssistantGenericPanel.java","1252","Transkriptionsfehler: ","ThreadUtils.showErrorDialog(this, ""Transkriptionsfehler: "" + ex.getMessage(), DesktopUtils.POPUP_TITLE_ERROR);"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\assistant\AssistantParameterDialog.java","877","Weiter","AssistantParameterDialog dialog = new AssistantParameterDialog(new javax.swing.JFrame(), true, null, ""Weiter"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\assistant\AssistantVisionDialog.java","818","Erro ao carregar der Akteninformationen","ThreadUtils.showErrorDialog(this, ""Erro ao carregar der Akteninformationen"", ""Akteninformationen laden"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\assistant\AssistantVisionPanel.java","220","Erro ao carregar der Akteninformationen","ThreadUtils.showErrorDialog(this, ""Erro ao carregar der Akteninformationen"", ""Akteninformationen laden"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\assistant\AssistantVisionPanel.java","530","\u00dcbernehmen","cmdProcessOutput = new JButton(""\u00dcbernehmen"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\assistant\AssistantVisionPanel.java","535","neues Dokument","cmdNewDocument = new JButton(""neues Dokument"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\assistant\AssistantVisionPanel.java","992","Fehler beim Stoppen der Aufnahme: ","ThreadUtils.showErrorDialog(this, ""Fehler beim Stoppen der Aufnahme: "" + ex.getMessage(), DesktopUtils.POPUP_TITLE_ERROR);"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\assistant\AssistantVisionPanel.java","1050","Aufnahmefehler: ","ThreadUtils.showErrorDialog(this, ""Aufnahmefehler: "" + e.getMessage(), DesktopUtils.POPUP_TITLE_ERROR);"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\assistant\AssistantVisionPanel.java","1164","Transkriptionsfehler: ","ThreadUtils.showErrorDialog(this, ""Transkriptionsfehler: "" + ex.getMessage(), DesktopUtils.POPUP_TITLE_ERROR);"
